[2025-10-04 21:27:05,509] 4ab6ca1e7391/INFO/locust.main: Starting Locust 2.41.3
[2025-10-04 21:27:05,513] 4ab6ca1e7391/INFO/locust.main: Run time limit set to 180 seconds
[2025-10-04 21:27:05,521] 4ab6ca1e7391/INFO/locust.runners: Ramping to 20 users at a rate of 2.00 per second
[2025-10-04 21:27:05,858] 4ab6ca1e7391/INFO/test_locust: Semantic search: 5 results, 5ms
[2025-10-04 21:27:05,858] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 9ms
[2025-10-04 21:27:06,581] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 5 results, 5ms
[2025-10-04 21:27:06,582] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 8 results, 6ms
[2025-10-04 21:27:06,994] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 4ms
[2025-10-04 21:27:07,421] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 3 results, 6ms
[2025-10-04 21:27:07,580] 4ab6ca1e7391/INFO/test_locust: Semantic search: 5 results, 5ms
[2025-10-04 21:27:07,582] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 3ms
[2025-10-04 21:27:11,140] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 5 results, 6ms
[2025-10-04 21:27:14,677] 4ab6ca1e7391/INFO/locust.runners: All users spawned: {"BMSAgentUser": 5, "HeavyLoadUser": 5, "LightLoadUser": 5, "MediumLoadUser": 5} (20 total users)
[2025-10-04 21:27:19,121] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 5ms
[2025-10-04 21:27:19,122] 4ab6ca1e7391/INFO/test_locust: Semantic search: 15 results, 5ms
[2025-10-04 21:27:19,122] 4ab6ca1e7391/INFO/test_locust: Semantic search: 10 results, 5ms
[2025-10-04 21:27:19,123] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 5 results, 4ms
[2025-10-04 21:27:19,123] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 5 results, 4ms
[2025-10-04 21:27:19,126] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 3ms
[2025-10-04 21:27:19,126] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:27:19,126] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 3ms
[2025-10-04 21:27:19,127] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 8 results, 4ms
[2025-10-04 21:27:19,253] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 3ms
[2025-10-04 21:27:19,254] 4ab6ca1e7391/INFO/test_locust: Semantic search: 10 results, 4ms
[2025-10-04 21:27:19,256] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 3 results, 3ms
[2025-10-04 21:27:19,256] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:27:19,257] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 5 results, 4ms
[2025-10-04 21:27:19,257] 4ab6ca1e7391/INFO/test_locust: Semantic search: 5 results, 4ms
[2025-10-04 21:27:19,257] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:27:19,258] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:27:19,258] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 8 results, 3ms
[2025-10-04 21:27:19,259] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 5 results, 3ms
[2025-10-04 21:27:19,802] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:27:36,013] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 3ms
[2025-10-04 21:27:36,014] 4ab6ca1e7391/INFO/test_locust: Semantic search: 10 results, 4ms
[2025-10-04 21:27:36,014] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 5 results, 4ms
[2025-10-04 21:27:36,015] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 3ms
[2025-10-04 21:27:36,015] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:27:36,016] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 5 results, 3ms
[2025-10-04 21:27:36,016] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 3 results, 3ms
[2025-10-04 21:27:36,017] 4ab6ca1e7391/INFO/test_locust: Semantic search: 5 results, 4ms
[2025-10-04 21:27:36,017] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:27:36,018] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 8 results, 4ms
[2025-10-04 21:27:36,018] 4ab6ca1e7391/INFO/test_locust: Semantic search: 15 results, 5ms
[2025-10-04 21:27:36,019] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:27:36,019] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:27:36,020] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 5 results, 5ms
[2025-10-04 21:27:36,020] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 3ms
[2025-10-04 21:27:36,021] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:27:36,021] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 4ms
[2025-10-04 21:27:36,028] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:27:37,087] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 5 results, 5ms
[2025-10-04 21:27:37,244] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 3ms
[2025-10-04 21:27:37,337] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 4ms
[2025-10-04 21:27:37,469] 4ab6ca1e7391/INFO/test_locust: Semantic search: 10 results, 5ms
[2025-10-04 21:27:37,504] 4ab6ca1e7391/INFO/test_locust: Semantic search: 15 results, 4ms
[2025-10-04 21:27:37,566] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 8 results, 11ms
[2025-10-04 21:27:37,581] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 3ms
[2025-10-04 21:27:37,955] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 3ms
[2025-10-04 21:27:38,020] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 5 results, 5ms
[2025-10-04 21:27:46,621] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 5 results, 6ms
[2025-10-04 21:27:46,622] 4ab6ca1e7391/INFO/test_locust: Semantic search: 15 results, 5ms
[2025-10-04 21:27:46,622] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 5 results, 4ms
[2025-10-04 21:27:46,623] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 5ms
[2025-10-04 21:27:46,623] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 8 results, 4ms
[2025-10-04 21:27:46,624] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 3ms
[2025-10-04 21:27:46,624] 4ab6ca1e7391/INFO/test_locust: Semantic search: 15 results, 6ms
[2025-10-04 21:27:46,625] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 3ms
[2025-10-04 21:27:46,625] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 5 results, 4ms
[2025-10-04 21:27:46,626] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 3 results, 9ms
[2025-10-04 21:27:46,626] 4ab6ca1e7391/INFO/test_locust: Semantic search: 15 results, 5ms
[2025-10-04 21:27:46,627] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 3 results, 5ms
[2025-10-04 21:27:46,627] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 8 results, 3ms
[2025-10-04 21:27:46,627] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 3ms
[2025-10-04 21:27:46,628] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:27:46,628] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 13ms
[2025-10-04 21:27:46,629] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 8 results, 4ms
[2025-10-04 21:27:46,629] 4ab6ca1e7391/INFO/test_locust: Semantic search: 15 results, 4ms
[2025-10-04 21:27:46,630] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 3ms
[2025-10-04 21:27:47,705] 4ab6ca1e7391/INFO/test_locust: Semantic search: 15 results, 6ms
[2025-10-04 21:27:47,949] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:27:48,037] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:27:48,250] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 3 results, 4ms
[2025-10-04 21:27:48,311] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:27:48,495] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:27:48,699] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 5 results, 3ms
[2025-10-04 21:27:48,718] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 1ms
[2025-10-04 21:27:48,734] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:27:48,838] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:27:48,916] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 1ms
[2025-10-04 21:27:49,021] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 8 results, 3ms
[2025-10-04 21:27:49,060] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:27:49,093] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:27:49,271] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:27:49,411] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:27:49,452] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 8 results, 4ms
[2025-10-04 21:27:49,515] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 5 results, 4ms
[2025-10-04 21:27:49,618] 4ab6ca1e7391/INFO/test_locust: Semantic search: 5 results, 5ms
[2025-10-04 21:27:49,651] 4ab6ca1e7391/INFO/test_locust: Semantic search: 15 results, 5ms
[2025-10-04 21:27:49,652] 4ab6ca1e7391/INFO/test_locust: Semantic search: 10 results, 4ms
[2025-10-04 21:27:49,756] 4ab6ca1e7391/INFO/test_locust: Semantic search: 10 results, 5ms
[2025-10-04 21:27:49,924] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 8 results, 5ms
[2025-10-04 21:27:50,085] 4ab6ca1e7391/INFO/test_locust: Semantic search: 5 results, 4ms
[2025-10-04 21:27:50,325] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 3ms
[2025-10-04 21:27:50,623] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:27:50,624] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 5 results, 3ms
